U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us2m.htm
21:01:26 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Imports  Million Cubic Feet
Nov 2000,329759
Oct 2000,324527
Sep 2000,304843
Aug 2000,318308
Jul 2000,322285
Jun 2000,296046
May 2000,287793
Apr 2000,294016
Mar 2000,306596
Feb 2000,300107
Jan 2000,325897
Dec 1999,324050
Nov 1999,305152
Oct 1999,304637
Sep 1999,302414
Aug 1999,312081
Jul 1999,296422
Jun 1999,279096
May 1999,291454
Apr 1999,271387
Mar 1999,301610
Feb 1999,286412
Jan 1999,310790
Dec 1998,275417
Nov 1998,258033
Oct 1998,266063
Sep 1998,262142
Aug 1998,274809
Jul 1998,266319
Jun 1998,243442
May 1998,252310
Apr 1998,253161
Mar 1998,263032
Feb 1998,251052
Jan 1998,286278
Dec 1997,262716
Nov 1997,272091
Oct 1997,251758
Sep 1997,239486
Aug 1997,244684
Jul 1997,235593
Jun 1997,232118
May 1997,241732
Apr 1997,238178
Mar 1997,256985
Feb 1997,240545
Jan 1997,278288
Dec 1996,271366
Nov 1996,251807
Oct 1996,247520
Sep 1996,237500
Aug 1996,237858
Jul 1996,236864
Jun 1996,226587
May 1996,252158
Apr 1996,236857
Mar 1996,241526
Feb 1996,233756
Jan 1996,263615
Dec 1995,264329
Nov 1995,236344
Oct 1995,236003
Sep 1995,227708
Aug 1995,236891
Jul 1995,222652
Jun 1995,217456
May 1995,228259
Apr 1995,231745
Mar 1995,250349
Feb 1995,235977
Jan 1995,253335
Dec 1994,245477
Nov 1994,225819
Oct 1994,221627
Sep 1994,209996
Aug 1994,218879
Jul 1994,221166
Jun 1994,200582
May 1994,206131
Apr 1994,211749
Mar 1994,222858
Feb 1994,198661
Jan 1994,240895
Dec 1993,224811
Nov 1993,209619
Oct 1993,192222
Sep 1993,194027
Aug 1993,197322
Jul 1993,194581
Jun 1993,182364
May 1993,171307
Apr 1993,188666
Mar 1993,204415
Feb 1993,190711
Jan 1993,200070
Dec 1992,209426
Nov 1992,210479
Oct 1992,176466
