U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us2m.htm
21:01:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Exports  Million Cubic Feet
Sep 2006,52583
Aug 2006,54739
Jul 2006,58874
Jun 2006,65708
May 2006,62557
Apr 2006,45181
Mar 2006,69434
Feb 2006,58766
Jan 2006,55600
Dec 2005,45272
Nov 2005,44964
Oct 2005,41025
Sep 2005,43824
Aug 2005,51987
Jul 2005,55048
Jun 2005,54807
May 2005,58944
Apr 2005,55538
Mar 2005,96220
Feb 2005,89576
Jan 2005,91395
Dec 2004,82649
Nov 2004,86431
Oct 2004,61174
Sep 2004,74439
Aug 2004,67491
Jul 2004,67031
Jun 2004,64227
May 2004,60968
Apr 2004,61916
Mar 2004,90982
Feb 2004,69805
Jan 2004,67024
Dec 2003,76769
Nov 2003,71867
Oct 2003,62314
Sep 2003,53337
Aug 2003,50962
Jul 2003,48707
Jun 2003,51924
May 2003,48519
Apr 2003,48831
Mar 2003,51851
Feb 2003,56393
Jan 2003,58449
Dec 2002,54821
Nov 2002,54589
Oct 2002,42109
Sep 2002,46563
Aug 2002,46511
Jul 2002,45032
Jun 2002,44939
May 2002,39459
Apr 2002,39194
Mar 2002,38141
Feb 2002,30383
Jan 2002,34491
Dec 2001,41564
Nov 2001,41840
Oct 2001,34452
Sep 2001,33517
Aug 2001,28965
Jul 2001,31219
Jun 2001,24554
May 2001,28981
Apr 2001,23637
Mar 2001,32121
Feb 2001,26882
Jan 2001,25547
Dec 2000,22621
Nov 2000,24767
Oct 2000,23070
Sep 2000,20568
Aug 2000,20775
Jul 2000,19546
Jun 2000,16249
May 2000,19810
Apr 2000,17015
Mar 2000,20505
Feb 2000,21015
Jan 2000,17776
Dec 1999,16040
Nov 1999,18628
Oct 1999,10161
Sep 1999,12852
Aug 1999,13079
Jul 1999,13294
Jun 1999,11003
May 1999,13988
Apr 1999,13001
Mar 1999,16035
Feb 1999,12934
Jan 1999,12400
Dec 1998,16157
Nov 1998,12494
Oct 1998,12975
Sep 1998,11957
Aug 1998,10563
Jul 1998,11166
Jun 1998,13250
May 1998,10093
Apr 1998,12886
Mar 1998,19488
Feb 1998,11346
Jan 1998,16632
Dec 1997,16600
Nov 1997,13051
Oct 1997,12289
Sep 1997,13055
Aug 1997,17633
Jul 1997,10136
Jun 1997,9527
May 1997,10097
Apr 1997,13872
Mar 1997,16276
Feb 1997,12443
Jan 1997,12028
Dec 1996,12801
Nov 1996,13979
Oct 1996,11889
Sep 1996,10566
Aug 1996,17036
Jul 1996,14385
Jun 1996,12138
May 1996,8458
Apr 1996,10008
Mar 1996,15118
Feb 1996,12828
Jan 1996,14186
Dec 1995,8146
Nov 1995,12679
Oct 1995,12250
Sep 1995,11370
Aug 1995,13520
Jul 1995,14552
Jun 1995,15606
May 1995,12477
Apr 1995,12138
Mar 1995,14630
Feb 1995,13115
Jan 1995,13635
Dec 1994,17698
Nov 1994,19384
Oct 1994,12805
Sep 1994,14236
Aug 1994,13801
Jul 1994,10647
Jun 1994,12596
May 1994,8462
Apr 1994,8959
Mar 1994,19156
Feb 1994,12898
Jan 1994,11097
Dec 1993,10399
Nov 1993,9526
Oct 1993,8646
Sep 1993,9919
Aug 1993,10623
Jul 1993,12691
Jun 1993,10554
May 1993,11324
Apr 1993,11287
Mar 1993,16229
Feb 1993,12323
Jan 1993,16661
Dec 1992,18724
Nov 1992,18527
Oct 1992,19272
Sep 1992,18136
Aug 1992,18229
Jul 1992,15868
Jun 1992,17812
May 1992,19030
Apr 1992,17754
Mar 1992,22511
Feb 1992,13986
Jan 1992,16432
Dec 1991,18036
Nov 1991,15105
Oct 1991,14393
Sep 1991,10737
Aug 1991,9526
Jul 1991,7830
Jun 1991,6706
May 1991,7744
Apr 1991,9039
Mar 1991,10001
Feb 1991,10566
Jan 1991,9562
Dec 1990,6753
Nov 1990,5897
Oct 1990,6275
Sep 1990,6597
Aug 1990,4536
Jul 1990,4569
Jun 1990,6209
May 1990,5906
Apr 1990,6155
Mar 1990,11333
Feb 1990,7641
Jan 1990,13694
Dec 1989,8471
Nov 1989,7909
Oct 1989,10453
Sep 1989,8998
Aug 1989,9148
Jul 1989,8681
Jun 1989,8943
May 1989,8030
Apr 1989,11137
Mar 1989,11127
Feb 1989,7253
Jan 1989,6722
Dec 1988,9050
Nov 1988,6771
