U.S. All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=M
20:24:34 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
May 2010,2.89
Apr 2010,2.9
Mar 2010,2.824
Feb 2010,2.699
Jan 2010,2.769
Dec 2009,2.663
Nov 2009,2.706
Oct 2009,2.605
Sep 2009,2.609
Aug 2009,2.67
Jul 2009,2.582
Jun 2009,2.681
May 2009,2.316
Apr 2009,2.102
Mar 2009,2.011
Feb 2009,1.975
Jan 2009,1.84
Dec 2008,1.745
Nov 2008,2.208
Oct 2008,3.112
Sep 2008,3.756
Aug 2008,3.833
Jul 2008,4.114
Jun 2008,4.105
May 2008,3.815
Apr 2008,3.507
Mar 2008,3.293
Feb 2008,3.078
Jan 2008,3.095
Dec 2007,3.07
Nov 2007,3.128
Oct 2007,2.853
Sep 2007,2.849
Aug 2007,2.834
Jul 2007,3.011
Jun 2007,3.102
May 2007,3.187
Apr 2007,2.891
Mar 2007,2.609
Feb 2007,2.323
Jan 2007,2.289
Dec 2006,2.359
Nov 2006,2.275
Oct 2006,2.293
Sep 2006,2.606
Aug 2006,2.999
Jul 2006,3.025
Jun 2006,2.93
May 2006,2.953
Apr 2006,2.787
Mar 2006,2.468
Feb 2006,2.326
Jan 2006,2.36
Dec 2005,2.229
Nov 2005,2.303
Oct 2005,2.765
Sep 2005,2.951
Aug 2005,2.529
Jul 2005,2.333
Jun 2005,2.198
May 2005,2.205
Apr 2005,2.285
Mar 2005,2.12
Feb 2005,1.953
Jan 2005,1.875
Dec 2004,1.887
Nov 2004,2.023
Oct 2004,2.042
Sep 2004,1.912
Aug 2004,1.92
Jul 2004,1.954
Jun 2004,2.013
May 2004,2.023
Apr 2004,1.839
Mar 2004,1.778
Feb 2004,1.69
Jan 2004,1.614
Dec 2003,1.522
Nov 2003,1.555
Oct 2003,1.606
Sep 2003,1.721
Aug 2003,1.661
Jul 2003,1.554
Jun 2003,1.533
May 2003,1.539
Apr 2003,1.633
Mar 2003,1.734
Feb 2003,1.655
Jan 2003,1.5
Dec 2002,1.429
Nov 2002,1.461
Oct 2002,1.486
Sep 2002,1.441
Aug 2002,1.438
Jul 2002,1.438
Jun 2002,1.424
May 2002,1.434
Apr 2002,1.439
Mar 2002,1.289
Feb 2002,1.155
Jan 2002,1.148
Dec 2001,1.127
Nov 2001,1.212
Oct 2001,1.357
Sep 2001,1.557
Aug 2001,1.461
Jul 2001,1.466
Jun 2001,1.658
May 2001,1.738
Apr 2001,1.591
Mar 2001,1.45
Feb 2001,1.49
Jan 2001,1.487
Dec 2000,1.483
Nov 2000,1.557
Oct 2000,1.571
Sep 2000,1.588
Aug 2000,1.506
Jul 2000,1.591
Jun 2000,1.666
May 2000,1.526
Apr 2000,1.506
Mar 2000,1.556
Feb 2000,1.415
Jan 2000,1.329
Dec 1999,1.313
Nov 1999,1.292
Oct 1999,1.285
Sep 1999,1.295
Aug 1999,1.26
Jul 1999,1.197
Jun 1999,1.154
May 1999,1.171
Apr 1999,1.171
Mar 1999,1.022
Feb 1999,0.962
Jan 1999,0.98
Dec 1998,0.987
Nov 1998,1.036
Oct 1998,1.059
Sep 1998,1.049
Aug 1998,1.065
Jul 1998,1.094
Jun 1998,1.103
May 1998,1.105
Apr 1998,1.077
Mar 1998,1.064
Feb 1998,1.096
Jan 1998,1.132
Dec 1997,1.177
Nov 1997,1.216
Oct 1997,1.242
Sep 1997,1.276
Aug 1997,1.268
Jul 1997,1.22
Jun 1997,1.242
May 1997,1.245
Apr 1997,1.244
Mar 1997,1.251
Feb 1997,1.276
Jan 1997,1.283
Dec 1996,1.282
Nov 1996,1.278
Oct 1996,1.249
Sep 1996,1.247
Aug 1996,1.251
Jul 1996,1.272
Jun 1996,1.3
May 1996,1.324
Apr 1996,1.275
Mar 1996,1.183
Feb 1996,1.136
Jan 1996,1.137
Dec 1995,1.118
Nov 1995,1.109
Oct 1995,1.134
Sep 1995,1.158
Aug 1995,1.17
Jul 1995,1.201
Jun 1995,1.239
May 1995,1.225
Apr 1995,1.157
Mar 1995,1.119
Feb 1995,1.12
Jan 1995,1.13
Dec 1994,1.129
Nov 1994,1.119
Oct 1994,1.114
Sep 1994,1.144
Aug 1994,1.155
Jul 1994,1.106
Jun 1994,1.078
May 1994,1.047
Apr 1994,1.027
Mar 1994,1.008
Feb 1994,1.009
Jan 1994,0.998
Dec 1993,1.014
Nov 1993,1.066
Oct 1993,1.092
Sep 1993,1.05
Aug 1993,1.062
Jul 1993,1.078
Jun 1993,1.097
May 1993,1.1
Apr 1993,1.078
