U.S. Natural Gas Marketed Production
https://www.eia.gov/dnav/ng/hist/n9050us2m.htm
21:01:03 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Marketed Production  Million Cubic Feet
Nov 2003,1620085
Oct 2003,1694596
Sep 2003,1638825
Aug 2003,1701056
Jul 2003,1667181
Jun 2003,1646690
May 2003,1700460
Apr 2003,1665329
Mar 2003,1739241
Feb 2003,1537109
Jan 2003,1690682
Dec 2002,1694674
Nov 2002,1634246
Oct 2002,1630246
Sep 2002,1592968
Aug 2002,1684340
Jul 2002,1719187
Jun 2002,1648568
May 2002,1711242
Apr 2002,1644193
Mar 2002,1701456
Feb 2002,1522916
Jan 2002,1700744
Dec 2001,1723803
Nov 2001,1671377
Oct 2001,1757397
Sep 2001,1688682
Aug 2001,1737283
Jul 2001,1737185
Jun 2001,1685568
May 2001,1763141
Apr 2001,1703310
Mar 2001,1766754
Feb 2001,1582557
Jan 2001,1753237
Dec 2000,1718470
Nov 2000,1664842
Oct 2000,1749979
Sep 2000,1663224
Aug 2000,1718738
Jul 2000,1705843
Jun 2000,1651376
May 2000,1691817
Apr 2000,1628474
Mar 2000,1722304
Feb 2000,1573807
Jan 2000,1708636
Dec 1999,1686596
Nov 1999,1640813
Oct 1999,1669079
Sep 1999,1610663
Aug 1999,1664085
Jul 1999,1667637
Jun 1999,1620577
May 1999,1660154
Apr 1999,1629521
Mar 1999,1705658
Feb 1999,1540789
Jan 1999,1709279
Dec 1998,1656813
Nov 1998,1615892
Oct 1998,1667795
Sep 1998,1545614
Aug 1998,1702581
Jul 1998,1690820
Jun 1998,1660137
May 1998,1731903
Apr 1998,1670166
Mar 1998,1729596
Feb 1998,1549369
Jan 1998,1740662
Dec 1997,1655732
Nov 1997,1625944
Oct 1997,1678542
Sep 1997,1623973
Aug 1997,1662151
Jul 1997,1665310
Jun 1997,1603091
May 1997,1692637
Apr 1997,1630357
Mar 1997,1710583
Feb 1997,1540644
Jan 1997,1700410
Dec 1996,1678109
Nov 1996,1639885
Oct 1996,1657074
Sep 1996,1617688
Aug 1996,1675645
Jul 1996,1670599
Jun 1996,1631550
May 1996,1676585
Apr 1996,1646842
Mar 1996,1670916
Feb 1996,1577744
Jan 1996,1669604
Dec 1995,1719118
Nov 1995,1656989
Oct 1995,1610256
Sep 1995,1580857
Aug 1995,1628213
Jul 1995,1639474
Jun 1995,1586994
May 1995,1648688
Apr 1995,1604162
Mar 1995,1659694
Feb 1995,1495384
Jan 1995,1676643
Dec 1994,1742516
Nov 1994,1679577
Oct 1994,1633678
Sep 1994,1572818
Aug 1994,1656664
Jul 1994,1649547
Jun 1994,1592186
May 1994,1668527
Apr 1994,1611987
Mar 1994,1696185
Feb 1994,1515069
Jan 1994,1690770
Dec 1993,1706422
Nov 1993,1625288
Oct 1993,1620526
Sep 1993,1535610
Aug 1993,1566351
Jul 1993,1547598
Jun 1993,1515170
May 1993,1567985
Apr 1993,1542286
Mar 1993,1626129
Feb 1993,1480823
Jan 1993,1647725
Dec 1992,1655671
Nov 1992,1587552
Oct 1992,1607569
Sep 1992,1507660
Aug 1992,1522282
Jul 1992,1563702
Jun 1992,1514984
May 1992,1557151
Apr 1992,1518106
Mar 1992,1547288
Feb 1992,1466733
Jan 1992,1663111
Dec 1991,1672701
Nov 1991,1599756
Oct 1991,1580397
Sep 1991,1463974
Aug 1991,1470857
Jul 1991,1464959
Jun 1991,1450544
May 1991,1521809
Apr 1991,1531264
Mar 1991,1606874
Feb 1991,1483427
Jan 1991,1685587
Dec 1990,1631158
Nov 1990,1578680
Oct 1990,1581541
Sep 1990,1454351
Aug 1990,1518246
Jul 1990,1512439
Jun 1990,1487364
May 1990,1529569
Apr 1990,1512357
Mar 1990,1595556
Feb 1990,1504126
Jan 1990,1688405
Dec 1989,1591803
Nov 1989,1532751
Oct 1989,1472124
Sep 1989,1402249
Aug 1989,1473242
Jul 1989,1484431
Jun 1989,1456458
May 1989,1518640
Apr 1989,1498615
Mar 1989,1573421
Feb 1989,1484383
Jan 1989,1607030
Dec 1988,1593349
Nov 1988,1510986
Oct 1988,1482372
Sep 1988,1364613
Aug 1988,1446517
Jul 1988,1426395
Jun 1988,1407635
May 1988,1481440
Apr 1988,1446606
Mar 1988,1580151
Feb 1988,1514696
Jan 1988,1663703
Dec 1987,1615796
Nov 1987,1490212
Oct 1987,1446264
Sep 1987,1331313
Aug 1987,1395657
Jul 1987,1371426
Jun 1987,1351361
May 1987,1411172
Apr 1987,1427734
Mar 1987,1530167
Feb 1987,1449437
Jan 1987,1612362
Dec 1986,1542043
Nov 1986,1435435
Oct 1986,1358930
Sep 1986,1284803
Aug 1986,1352305
Jul 1986,1349304
Jun 1986,1307343
May 1986,1366904
Apr 1986,1341330
Mar 1986,1492857
Feb 1986,1406522
Jan 1986,1620898
Dec 1985,1619859
Nov 1985,1404027
Oct 1985,1399778
Sep 1985,1344066
Aug 1985,1371076
Jul 1985,1374047
Jun 1985,1341112
May 1985,1389055
Apr 1985,1403129
Mar 1985,1489912
Feb 1985,1491742
Jan 1985,1642424
Dec 1984,1619824
Nov 1984,1492591
Oct 1984,1496471
Sep 1984,1423071
Aug 1984,1493323
Jul 1984,1515471
Jun 1984,1461748
May 1984,1509156
Apr 1984,1512744
Mar 1984,1546460
Feb 1984,1503097
Jan 1984,1730382
Dec 1983,1494141
Nov 1983,1376780
Oct 1983,1380359
Sep 1983,1312654
Aug 1983,1377455
Jul 1983,1397885
Jun 1983,1348330
May 1983,1392060
Apr 1983,1395369
Mar 1983,1426469
Feb 1983,1386471
Jan 1983,1596121
Dec 1982,1515084
Nov 1982,1480967
Oct 1982,1464912
Sep 1982,1435813
Aug 1982,1497022
Jul 1982,1531139
Jun 1982,1510067
May 1982,1557228
Apr 1982,1586327
Mar 1982,1680631
Feb 1982,1589337
Jan 1982,1733813
Dec 1981,1718000
Nov 1981,1583000
Oct 1981,1643000
Sep 1981,1577000
Aug 1981,1705000
Jul 1981,1663000
Jun 1981,1634000
May 1981,1698000
Apr 1981,1674000
Mar 1981,1735000
Feb 1981,1573000
Jan 1981,1752000
Dec 1980,1798000
Nov 1980,1652000
Oct 1980,1648000
Sep 1980,1579000
Aug 1980,1576000
Jul 1980,1616000
Jun 1980,1586000
May 1980,1695000
Apr 1980,1670000
Mar 1980,1830000
Feb 1980,1709000
Jan 1980,1821000
Dec 1979,1823000
Nov 1979,1724000
Oct 1979,1705000
Sep 1979,1635000
Aug 1979,1689000
Jul 1979,1662000
Jun 1979,1643000
May 1979,1716000
Apr 1979,1693000
Mar 1979,1755000
Feb 1979,1656000
Jan 1979,1772000
Dec 1978,1710000
Nov 1978,1607000
Oct 1978,1635000
Sep 1978,1576000
Aug 1978,1658000
Jul 1978,1693000
Jun 1978,1623000
May 1978,1664000
Apr 1978,1668000
Mar 1978,1748000
Feb 1978,1649000
Jan 1978,1743000
Dec 1977,1726000
Nov 1977,1606000
Oct 1977,1628000
Sep 1977,1599000
Aug 1977,1645000
Jul 1977,1674000
Jun 1977,1649000
May 1977,1692000
Apr 1977,1644000
Mar 1977,1751000
Feb 1977,1674000
Jan 1977,1740000
Dec 1976,1753000
Nov 1976,1636000
Oct 1976,1639000
Sep 1976,1565000
Aug 1976,1636000
Jul 1976,1676000
Jun 1976,1640000
May 1976,1673000
Apr 1976,1623000
Mar 1976,1714000
Feb 1976,1647000
Jan 1976,1751000
Dec 1975,1730000
Nov 1975,1618000
Oct 1975,1646000
Sep 1975,1603000
Aug 1975,1677000
Jul 1975,1677000
Jun 1975,1634000
May 1975,1689000
Apr 1975,1672000
Mar 1975,1738000
Feb 1975,1645000
Jan 1975,1779000
Dec 1974,1790000
Nov 1974,1729000
Oct 1974,1767000
Sep 1974,1755000
Aug 1974,1790000
Jul 1974,1818000
Jun 1974,1740000
May 1974,1847000
Apr 1974,1780000
Mar 1974,1895000
Feb 1974,1760000
Jan 1974,1930000
Dec 1973,1926000
Nov 1973,1863000
Oct 1973,1875000
Sep 1973,1840000
Aug 1973,1896000
Jul 1973,1880000
Jun 1973,1839000
May 1973,1898000
Apr 1973,1814000
Mar 1973,1907000
Feb 1973,1962000
Jan 1973,1948000
