Price of U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9130us3m.htm
21:00:36 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,Price of U.S. Natural Gas Exports  Dollars per Thousand Cubic Feet
Dec 2009,5.63
Nov 2009,4.53
Oct 2009,4.29
Sep 2009,3.43
Aug 2009,3.58
Jul 2009,3.97
Jun 2009,3.9
May 2009,3.85
Apr 2009,3.88
Mar 2009,4.29
Feb 2009,4.92
Jan 2009,5.98
Dec 2008,6.59
Nov 2008,6.28
Oct 2008,6.54
Sep 2008,7.45
Aug 2008,8.69
Jul 2008,11.9
Jun 2008,11.58
May 2008,10.93
Apr 2008,9.94
Mar 2008,9.33
Feb 2008,8.36
Jan 2008,7.7
Dec 2007,7.36
Nov 2007,7.05
Oct 2007,6.61
Sep 2007,5.83
Aug 2007,6.1
Jul 2007,6.47
Jun 2007,7.31
May 2007,7.47
Apr 2007,7.41
Mar 2007,7.33
Feb 2007,7.35
Jan 2007,6.58
Dec 2006,7.57
Nov 2006,7.21
Oct 2006,5.06
Sep 2006,5.9
Aug 2006,6.98
Jul 2006,6.02
Jun 2006,6
May 2006,6.5
Apr 2006,6.72
Mar 2006,6.79
Feb 2006,7.71
Jan 2006,9.52
Dec 2005,10.59
Nov 2005,10.34
Oct 2005,11.06
Sep 2005,9.71
Aug 2005,7.93
Jul 2005,7.09
Jun 2005,6.6
May 2005,6.75
Apr 2005,7.06
Mar 2005,6.59
Feb 2005,6.21
Jan 2005,6.2
Dec 2004,7.22
Nov 2004,7.17
Oct 2004,5.77
Sep 2004,5.47
Aug 2004,5.86
Jul 2004,6.09
Jun 2004,6.48
May 2004,6.12
Apr 2004,5.57
Mar 2004,5.35
Feb 2004,5.71
Jan 2004,6.02
Dec 2003,5.32
Nov 2003,4.67
Oct 2003,4.63
Sep 2003,4.95
Aug 2003,4.9
Jul 2003,5.31
Jun 2003,5.94
May 2003,5.51
Apr 2003,5.22
Mar 2003,8.47
Feb 2003,6.46
Jan 2003,5.61
Dec 2002,4.3
Nov 2002,4.21
Oct 2002,3.72
Sep 2002,3.37
Aug 2002,2.99
Jul 2002,3.31
Jun 2002,3.27
May 2002,3.32
Apr 2002,3.51
Mar 2002,2.75
Feb 2002,2.42
Jan 2002,2.9
Dec 2001,2.76
Nov 2001,3.21
Oct 2001,2.74
Sep 2001,2.79
Aug 2001,3.48
Jul 2001,3.62
