U.S. Imports of Total Gasoline Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WGTIMUS2.W,
20:28:36 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WGTIMUS2.W Thousand Barrels per Day
4/17/2009,1117
4/10/2009,1074
4/3/2009,1006
3/27/2009,1211
3/20/2009,1136
3/13/2009,1149
3/6/2009,1257
2/27/2009,1170
2/20/2009,805
2/13/2009,826
2/6/2009,1318
1/30/2009,829
1/23/2009,1154
1/16/2009,1154
1/9/2009,797
1/2/2009,852
12/26/2008,1145
12/19/2008,1254
12/12/2008,802
12/5/2008,1106
11/28/2008,884
11/21/2008,980
11/14/2008,860
11/7/2008,589
10/31/2008,1040
10/24/2008,831
10/17/2008,1062
10/10/2008,1452
10/3/2008,1434
9/26/2008,1261
9/19/2008,1211
9/12/2008,977
9/5/2008,1121
8/29/2008,883
8/22/2008,1368
8/15/2008,794
8/8/2008,785
8/1/2008,864
7/25/2008,965
7/18/2008,1145
7/11/2008,1016
7/4/2008,1163
6/27/2008,1356
6/20/2008,1162
6/13/2008,1042
6/6/2008,1195
5/30/2008,1310
5/23/2008,1023
5/16/2008,1143
5/9/2008,915
5/2/2008,1494
4/25/2008,1385
4/18/2008,1006
4/11/2008,950
4/4/2008,907
3/28/2008,944
3/21/2008,963
3/14/2008,901
3/7/2008,745
2/29/2008,800
2/22/2008,1354
2/15/2008,827
2/8/2008,841
2/1/2008,1144
1/25/2008,1156
1/18/2008,1228
1/11/2008,938
1/4/2008,1020
12/28/2007,1151
12/21/2007,1015
12/14/2007,1108
12/7/2007,985
11/30/2007,1169
11/23/2007,835
11/16/2007,1124
11/9/2007,1014
11/2/2007,1131
10/26/2007,1238
10/19/2007,838
10/12/2007,1093
10/5/2007,1323
9/28/2007,1154
9/21/2007,1052
9/14/2007,1011
9/7/2007,1016
8/31/2007,1314
8/24/2007,993
8/17/2007,927
8/10/2007,1213
8/3/2007,1397
7/27/2007,1225
7/20/2007,1652
7/13/2007,915
7/6/2007,1423
6/29/2007,1392
6/22/2007,1112
6/15/2007,1284
6/8/2007,1157
6/1/2007,1506
5/25/2007,1610
5/18/2007,1295
5/11/2007,1528
5/4/2007,1222
4/27/2007,1152
4/20/2007,1164
4/13/2007,1039
4/6/2007,953
3/30/2007,1009
3/23/2007,1134
3/16/2007,803
3/9/2007,910
3/2/2007,788
2/23/2007,889
2/16/2007,948
2/9/2007,820
2/2/2007,984
1/26/2007,1275
1/19/2007,911
1/12/2007,1035
1/5/2007,1033
12/29/2006,1254
12/22/2006,968
12/15/2006,843
12/8/2006,967
12/1/2006,877
11/24/2006,940
11/17/2006,1198
11/10/2006,1088
11/3/2006,991
10/27/2006,1219
10/20/2006,957
10/13/2006,676
10/6/2006,1070
9/29/2006,1114
9/22/2006,1459
9/15/2006,799
9/8/2006,1084
9/1/2006,1027
8/25/2006,1183
8/18/2006,1324
8/11/2006,1388
8/4/2006,1216
7/28/2006,1327
7/21/2006,1008
7/14/2006,1050
7/7/2006,1099
6/30/2006,1271
6/23/2006,958
6/16/2006,1084
6/9/2006,1410
6/2/2006,1399
5/26/2006,1552
5/19/2006,1626
5/12/2006,1450
5/5/2006,1649
4/28/2006,1019
4/21/2006,1338
4/14/2006,907
4/7/2006,1101
3/31/2006,1087
3/24/2006,1049
3/17/2006,1111
3/10/2006,1268
3/3/2006,1110
2/24/2006,1230
2/17/2006,1193
2/10/2006,1094
2/3/2006,1188
1/27/2006,935
1/20/2006,917
1/13/2006,1023
1/6/2006,1008
12/30/2005,921
12/23/2005,960
12/16/2005,994
12/9/2005,1256
12/2/2005,949
11/25/2005,584
11/18/2005,1130
11/11/2005,1096
11/4/2005,1131
10/28/2005,1220
10/21/2005,1027
10/14/2005,1541
10/7/2005,1431
9/30/2005,1423
9/23/2005,1207
9/16/2005,938
9/9/2005,1098
9/2/2005,862
8/26/2005,1271
8/19/2005,1225
8/12/2005,973
8/5/2005,1186
7/29/2005,1013
7/22/2005,1052
7/15/2005,810
7/8/2005,954
7/1/2005,1014
6/24/2005,1030
6/17/2005,1143
6/10/2005,1043
6/3/2005,836
5/27/2005,1015
5/20/2005,1093
5/13/2005,988
5/6/2005,1098
4/29/2005,1047
4/22/2005,1072
4/15/2005,1090
4/8/2005,1002
4/1/2005,900
3/25/2005,870
3/18/2005,978
3/11/2005,964
3/4/2005,957
2/25/2005,984
2/18/2005,776
2/11/2005,1175
2/4/2005,900
1/28/2005,781
1/21/2005,636
1/14/2005,583
1/7/2005,589
12/31/2004,837
12/24/2004,989
12/17/2004,719
12/10/2004,806
12/3/2004,1093
11/26/2004,899
11/19/2004,763
11/12/2004,715
11/5/2004,814
10/29/2004,670
10/22/2004,922
10/15/2004,720
10/8/2004,1032
10/1/2004,915
9/24/2004,1003
9/17/2004,884
9/10/2004,607
9/3/2004,1192
8/27/2004,889
8/20/2004,992
8/13/2004,891
8/6/2004,858
7/30/2004,1104
7/23/2004,1263
7/16/2004,872
7/9/2004,951
7/2/2004,1262
6/25/2004,969
