Price of U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us3m.htm
20:59:39 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,Price of U.S. Natural Gas Imports  Dollars per Thousand Cubic Feet
Jan 2005,6.3
Dec 2004,6.96
Nov 2004,6.98
Oct 2004,5.38
Sep 2004,4.96
Aug 2004,5.62
Jul 2004,5.75
Jun 2004,6.06
May 2004,5.63
Apr 2004,5.21
Mar 2004,5.15
Feb 2004,5.67
Jan 2004,5.98
Dec 2003,5.08
Nov 2003,4.51
Oct 2003,4.48
Sep 2003,4.67
Aug 2003,4.54
Jul 2003,5.11
Jun 2003,5.53
May 2003,5.04
Apr 2003,5
Mar 2003,7.61
Feb 2003,5.71
Jan 2003,4.89
Dec 2002,4.2
Nov 2002,4.04
Oct 2002,3.56
Sep 2002,3.06
Aug 2002,2.7
Jul 2002,2.84
Jun 2002,3.08
May 2002,3.25
Apr 2002,3.27
Mar 2002,2.61
Feb 2002,2.32
Jan 2002,2.73
Dec 2001,2.68
Nov 2001,2.95
Oct 2001,2.14
Sep 2001,2.63
Aug 2001,3.14
Jul 2001,3.17
Jun 2001,3.94
May 2001,4.95
Apr 2001,5.35
Mar 2001,5.42
Feb 2001,6.45
Jan 2001,9.47
Dec 2000,7.35
Nov 2000,4.86
Oct 2000,5.16
Sep 2000,4.15
Aug 2000,3.62
Jul 2000,3.94
Jun 2000,3.87
May 2000,3.05
Apr 2000,2.86
Mar 2000,2.61
Feb 2000,2.6
Jan 2000,2.44
Dec 1999,2.34
Nov 1999,2.85
Oct 1999,2.5
Sep 1999,2.63
Aug 1999,2.39
Jul 1999,2.18
Jun 1999,2.13
May 1999,2.17
Apr 1999,1.85
Mar 1999,1.8
Feb 1999,1.93
Jan 1999,2.03
Dec 1998,2.16
Nov 1998,2.12
Oct 1998,1.93
Sep 1998,1.68
Aug 1998,1.82
Jul 1998,1.97
Jun 1998,1.88
May 1998,2.02
Apr 1998,2.04
Mar 1998,1.98
Feb 1998,1.94
Jan 1998,2.08
Dec 1997,2.19
Nov 1997,2.72
Oct 1997,2.33
Sep 1997,2.01
Aug 1997,1.83
Jul 1997,1.84
Jun 1997,1.88
May 1997,1.83
Apr 1997,1.67
Mar 1997,1.72
Feb 1997,2.52
Jan 1997,3.26
Dec 1996,3
Nov 1996,2.26
Oct 1996,1.71
Sep 1996,1.62
Aug 1996,1.8
Jul 1996,1.84
Jun 1996,1.7
May 1996,1.72
Apr 1996,1.87
Mar 1996,1.92
Feb 1996,1.95
Jan 1996,2.09
Dec 1995,1.8
Nov 1995,1.61
Oct 1995,1.48
Sep 1995,1.43
Aug 1995,1.34
Jul 1995,1.4
Jun 1995,1.47
May 1995,1.46
Apr 1995,1.37
Mar 1995,1.4
Feb 1995,1.46
Jan 1995,1.6
Dec 1994,1.72
Nov 1994,1.71
Oct 1994,1.54
Sep 1994,1.66
Aug 1994,1.76
Jul 1994,1.82
Jun 1994,1.77
May 1994,1.94
Apr 1994,1.96
Mar 1994,2.21
Feb 1994,2.24
Jan 1994,2.11
Dec 1993,2.27
Nov 1993,2.07
Oct 1993,1.93
Sep 1993,2.09
Aug 1993,1.97
Jul 1993,1.92
Jun 1993,1.98
May 1993,2.17
Apr 1993,2.03
Mar 1993,1.94
Feb 1993,1.89
Jan 1993,2.07
Dec 1992,2.13
Nov 1992,1.96
Oct 1992,2.22
Sep 1992,1.96
Aug 1992,1.83
Jul 1992,1.7
Jun 1992,1.77
May 1992,1.66
Apr 1992,1.63
Mar 1992,1.65
Feb 1992,1.68
Jan 1992,1.98
Dec 1991,1.98
Nov 1991,1.91
Oct 1991,1.8
Sep 1991,1.67
Aug 1991,1.6
Jul 1991,1.68
Jun 1991,1.72
May 1991,1.74
Apr 1991,1.79
Mar 1991,1.86
Feb 1991,1.92
Jan 1991,2.11
Dec 1990,2.13
Nov 1990,2.12
Oct 1990,1.84
Sep 1990,1.8
Aug 1990,1.78
Jul 1990,1.83
Jun 1990,1.79
May 1990,1.79
Apr 1990,1.82
Mar 1990,1.99
Feb 1990,2.1
Jan 1990,2.12
Dec 1989,1.99
Nov 1989,1.91
Oct 1989,1.78
Sep 1989,1.77
Aug 1989,1.77
Jul 1989,1.75
Jun 1989,1.81
May 1989,1.76
Apr 1989,1.73
Mar 1989,1.81
Feb 1989,1.88
Jan 1989,1.72
